#
20240112180000,3612.42986,S,14452.10341,E,28.709,117.4
20240112180001,3612.43774,S,14452.10347,E,28.463,117.3
20240112180002,3612.44556,S,14452.10352,E,28.373,117.2
20240112180003,3612.45378,S,14452.10353,E,29.743,116.9
20240112180004,3612.46150,S,14452.10369,E,28.070,116.7
20240112180005,3612.46907,S,14452.10384,E,27.494,116.6
20240112180006,3612.47686,S,14452.10406,E,28.046,116.3
20240112180007,3612.48472,S,14452.10422,E,28.110,116.5
20240112180008,3612.49247,S,14452.10438,E,27.776,116.6
20240112180009,3612.50032,S,14452.10441,E,27.795,116.7
20240112180010,3612.50804,S,14452.10447,E,27.576,116.4
20240112180011,3612.51582,S,14452.10452,E,27.547,116.1
20240112180012,3612.52358,S,14452.10452,E,27.638,116.3
20240112180013,3612.53138,S,14452.10443,E,27.626,116.4
20240112180014,3612.53921,S,14452.10437,E,27.829,116.5
20240112180015,3612.54692,S,14452.10435,E,27.444,116.4
20240112180016,3612.55473,S,14452.10437,E,27.746,115.9
20240112180017,3612.56245,S,14452.10441,E,27.675,116.1
20240112180018,3612.57003,S,14452.10451,E,27.314,115.7
20240112180019,3612.57747,S,14452.10452,E,26.361,114.8
20240112180020,3612.58422,S,14452.10453,E,23.900,115.2
20240112180021,3612.59115,S,14452.10464,E,24.932,115.3
20240112180022,3612.59802,S,14452.10485,E,24.350,113.9
20240112180023,3612.60468,S,14452.10503,E,23.466,113.2
20240112180024,3612.61084,S,14452.10530,E,21.888,113.0
20240112180025,3612.61644,S,14452.10572,E,20.053,112.4
20240112180026,3612.62172,S,14452.10612,E,17.791,112.1
20240112180027,3612.62646,S,14452.10625,E,16.222,113.1
20240112180028,3612.63046,S,14452.10627,E,13.537,113.7
20240112180029,3612.63388,S,14452.10596,E,11.189,113.9
20240112180030,3612.63662,S,14452.10542,E,8.270,114.1
20240112180031,3612.63883,S,14452.10483,E,6.745,114.4
20240112180032,3612.64058,S,14452.10424,E,5.973,114.8
20240112180033,3612.64238,S,14452.10361,E,7.104,115.1
20240112180034,3612.64482,S,14452.10306,E,9.408,115.0
20240112180035,3612.64791,S,14452.10286,E,11.862,114.8
20240112180036,3612.65155,S,14452.10296,E,13.574,114.5
20240112180037,3612.65559,S,14452.10319,E,15.050,114.5
20240112180038,3612.66001,S,14452.10341,E,16.211,114.7
20240112180039,3612.66471,S,14452.10361,E,17.192,114.9
20240112180040,3612.66971,S,14452.10373,E,18.216,115.2
20240112180041,3612.67497,S,14452.10380,E,19.029,115.2
20240112180042,3612.68050,S,14452.10385,E,20.021,115.3
20240112180043,3612.68629,S,14452.10391,E,20.817,115.4
20240112180044,3612.69231,S,14452.10402,E,21.687,115.5
20240112180045,3612.69853,S,14452.10413,E,22.420,115.6
20240112180046,3612.70506,S,14452.10415,E,23.622,115.6
20240112180047,3612.71185,S,14452.10417,E,24.569,115.6
20240112180048,3612.71893,S,14452.10420,E,25.349,115.5
20240112180049,3612.72614,S,14452.10420,E,25.830,115.6
20240112180050,3612.73342,S,14452.10424,E,26.189,115.6
20240112180051,3612.74096,S,14452.10422,E,27.061,115.5
20240112180052,3612.74862,S,14452.10414,E,27.671,115.7
20240112180053,3612.75641,S,14452.10408,E,28.062,115.6
20240112180054,3612.76438,S,14452.10397,E,28.808,115.5
20240112180055,3612.77251,S,14452.10388,E,29.332,115.4
20240112180056,3612.78073,S,14452.10387,E,29.618,115.3
20240112180057,3612.78896,S,14452.10388,E,29.578,115.2
20240112180058,3612.79722,S,14452.10388,E,29.700,115.2
20240112180059,3612.80549,S,14452.10382,E,29.484,115.2
20240112180100,3612.81370,S,14452.10374,E,29.441,115.3
20240112180101,3612.82187,S,14452.10370,E,29.248,115.1
20240112180102,3612.83003,S,14452.10364,E,29.254,115.0
20240112180103,3612.83818,S,14452.10368,E,28.970,114.7
20240112180104,3612.84630,S,14452.10370,E,28.912,114.9
20240112180105,3612.85444,S,14452.10369,E,29.088,115.1
20240112180106,3612.86266,S,14452.10367,E,29.505,115.2
20240112180107,3612.87087,S,14452.10368,E,29.493,115.1
20240112180108,3612.87917,S,14452.10367,E,29.830,115.0
20240112180109,3612.88748,S,14452.10370,E,29.884,115.0
20240112180110,3612.89584,S,14452.10374,E,30.217,114.9
20240112180111,3612.90432,S,14452.10372,E,30.686,114.8
20240112180112,3612.91290,S,14452.10374,E,30.911,114.5
20240112180113,3612.92159,S,14452.10375,E,31.228,114.5
20240112180114,3612.93024,S,14452.10379,E,31.122,114.4
20240112180115,3612.93898,S,14452.10383,E,31.475,114.3
20240112180116,3612.94778,S,14452.10389,E,31.640,114.2
20240112180117,3612.95663,S,14452.10397,E,31.851,114.2
20240112180118,3612.96554,S,14452.10395,E,32.048,114.2
20240112180119,3612.97443,S,14452.10392,E,31.890,114.1
